,name,rate,rank
0,Alabama,3.3,16
1,Alaska,6.3,51
2,Arizona,4.9,47
3,Arkansas,3.4,22
4,California,4.1,38
5,Colorado,2.9,7
6,Connecticut,3.6,30
7,Delaware,3.3,16
8,District of Columbia,5.6,50
9,Florida,3.3,16
10,Georgia,3.6,30
11,Hawaii,2.8,5
12,Idaho,2.9,7
13,Illinois,4.2,40
14,Indiana,3.4,22
15,Iowa,2.5,3
16,Kansas,3.3,16
17,Kentucky,4.3,42
18,Louisiana,4.3,42
19,Maine,3.0,12
20,Maryland,3.8,33
21,Massachusetts,2.9,7
22,Michigan,4.3,42
23,Minnesota,3.4,22
24,Mississippi,5.1,49
25,Missouri,3.3,16
26,Montana,3.4,22
27,Nebraska,3.1,14
28,Nevada,4.1,38
29,New Hampshire,2.5,3
30,New Jersey,3.3,16
31,New Mexico,4.9,47
32,New York,4.0,35
33,North Carolina,4.2,40
34,North Dakota,2.4,2
35,Ohio,4.0,35
36,Oklahoma,3.2,15
37,Oregon,4.0,35
38,Pennsylvania,3.9,34
39,Rhode Island,3.5,28
40,South Carolina,3.4,22
41,South Dakota,2.9,7
42,Tennessee,3.5,28
43,Texas,3.4,22
44,Utah,2.8,5
45,Vermont,2.1,1
46,Virginia,2.9,7
47,Washington,4.6,45
48,West Virginia,4.7,46
49,Wisconsin,3.0,12
50,Wyoming,3.6,30
